Year,Subject,Topic,No of questions
2015,Geography,Natural Vegetation & wild Life,2
2015,Geography,Population,1
2015,Geography,Life Lines of national Economy,2
2015,Geography,Resources types & developing,1
2015,Geography,Manufacturing Industries,1
2015,History,India during British rule & Nationalism in India,6
2015,History,Regional Empires,2
2015,History,Delhi Sultanate,1
2015,History,Mughal Empire,1
2015,History,Social & Religious Reforms,2
2015,Economics,Economics Five Year Plans,2
2015,Economics,International Trade,2
2015,Economics,Sectors of India Economy,1
2015,Civics,Constitution,5
2015,Civics,International Organizations,2
2015,Civics,Union Executive & Legislature,1
2015,English,Synonyms,5
2015,English,Antonym,5
2015,English,Spotting Errors,9
2015,English,Ordering of Words in a sentence,6
2015,English,Sentence Improvement,10
2015,English,Fillers,15
